_id,Fiscal Year,Fund ID,Fund Name,Fund Type,Department ID,Department Name,Department Type,GL Account,GL Description,GL Category,Revenue or Expenditure,Current,Adopted,Actuals
40,2023,1000,General Fund,General Funds,3600,Parks & Recreation,Human & Cultural Services,520141,Engineering Services,Other Services and Charges,Expenditures,7400,39500,0
41,2023,1000,General Fund,General Funds,3600,Parks & Recreation,Human & Cultural Services,520510,Mail/Delivery Services,Other Services and Charges,Expenditures,2300,2300,0
42,2023,1000,General Fund,General Funds,3600,Parks & Recreation,Human & Cultural Services,520755,Contingency,Other Services and Charges,Expenditures,550000,550000,0
43,2023,1000,General Fund,General Funds,3600,Parks & Recreation,Human & Cultural Services,520761,Contributions to Joint Projects,Other Services and Charges,Expenditures,140639,0,0
44,2023,1000,General Fund,General Funds,3600,Parks & Recreation,Human & Cultural Services,521406,Roofing Repair and Replacement,Other Services and Charges,Expenditures,650000,0,0
45,2023,1000,General Fund,General Funds,3600,Parks & Recreation,Human & Cultural Services,522735,Interfund Parking - HF,Other Services and Charges,Expenditures,2700,2700,0
46,2023,1000,General Fund,General Funds,3600,Parks & Recreation,Human & Cultural Services,522740,Interfund Police Service,Other Services and Charges,Expenditures,0,53600,0
47,2023,1000,General Fund,General Funds,3800,Houston Health Department,Human & Cultural Services,520105,Accounting & Auditing Services,Other Services and Charges,Expenditures,0,20378,0
48,2023,1000,General Fund,General Funds,3800,Houston Health Department,Human & Cultural Services,520120,Communications Equipment Services,Other Services and Charges,Expenditures,2000,2000,0
49,2023,1000,General Fund,General Funds,3800,Houston Health Department,Human & Cultural Services,520124,Other Equipment Services,Other Services and Charges,Expenditures,13000,35000,0
50,2023,1000,General Fund,General Funds,3800,Houston Health Department,Human & Cultural Services,520515,Print Shop Services,Other Services and Charges,Expenditures,11000,11000,0
51,2023,1000,General Fund,General Funds,3800,Houston Health Department,Human & Cultural Services,520725,Assessments - Other Governments,Other Services and Charges,Expenditures,49000,111000,0
52,2023,1000,General Fund,General Funds,3800,Houston Health Department,Human & Cultural Services,521405,Building Maintenance Services,Other Services and Charges,Expenditures,8200,8200,0
53,2023,1000,General Fund,General Funds,3800,Houston Health Department,Human & Cultural Services,521435,Water Services,Other Services and Charges,Expenditures,300,300,0
54,2023,1000,General Fund,General Funds,3800,Houston Health Department,Human & Cultural Services,521715,Office Equipment Rental,Other Services and Charges,Expenditures,500,500,0
55,2023,1000,General Fund,General Funds,3800,Houston Health Department,Human & Cultural Services,522435,Interest Charges Past Due Accounts,Other Services and Charges,Expenditures,500,500,0
56,2023,1000,General Fund,General Funds,3800,Houston Health Department,Human & Cultural Services,522735,Interfund Parking - HF,Other Services and Charges,Expenditures,7000,7000,0
57,2023,1000,General Fund,General Funds,5000,Mayor's Office,Administrative Services,520605,Advertising Services,Other Services and Charges,Expenditures,9947,9947,0
58,2023,1000,General Fund,General Funds,5000,Mayor's Office,Administrative Services,520765,Membership & Professional Fees,Other Services and Charges,Expenditures,9696,9696,0
59,2023,1000,General Fund,General Funds,5000,Mayor's Office,Administrative Services,520805,Education & Training,Other Services and Charges,Expenditures,1250,1250,0
60,2023,1000,General Fund,General Funds,5000,Mayor's Office,Administrative Services,522735,Interfund Parking - HF,Other Services and Charges,Expenditures,40263,40263,0
61,2023,1000,General Fund,General Funds,5100,Business Opportunity,Administrative Services,520119,Computer Eq/SW Mnt,Other Services and Charges,Expenditures,4996,9400,0
62,2023,1000,General Fund,General Funds,5100,Business Opportunity,Administrative Services,520157,Computer Software Maintenance Services,Other Services and Charges,Expenditures,1300,1300,0
63,2023,1000,General Fund,General Funds,5100,Business Opportunity,Administrative Services,520520,Printing & Reproduction Services,Other Services and Charges,Expenditures,3000,3100,0
64,2023,1000,General Fund,General Funds,5100,Business Opportunity,Administrative Services,520765,Membership & Professional Fees,Other Services and Charges,Expenditures,1600,1600,0
65,2023,1000,General Fund,General Funds,5100,Business Opportunity,Administrative Services,522735,Interfund Parking - HF,Other Services and Charges,Expenditures,39974,39974,0
66,2023,1000,General Fund,General Funds,5100,Business Opportunity,Administrative Services,522780,Interfund Metro Passes,Other Services and Charges,Expenditures,7686,7686,0
67,2023,1000,General Fund,General Funds,5500,City Council,Administrative Services,520119,Computer Eq/SW Mnt,Other Services and Charges,Expenditures,80,80,0
68,2023,1000,General Fund,General Funds,5500,City Council,Administrative Services,520120,Communications Equipment Services,Other Services and Charges,Expenditures,4690,4690,0
69,2023,1000,General Fund,General Funds,5500,City Council,Administrative Services,521715,Office Equipment Rental,Other Services and Charges,Expenditures,4215,4215,0
70,2023,1000,General Fund,General Funds,6000,City Controller's Office,Administrative Services,520108,Information Resource Services,Other Services and Charges,Expenditures,40000,40000,0
71,2023,1000,General Fund,General Funds,6000,City Controller's Office,Administrative Services,520109,Medical- Dental & Laboratory Services,Other Services and Charges,Expenditures,200,200,0
72,2023,1000,General Fund,General Funds,6000,City Controller's Office,Administrative Services,520120,Communications Equipment Services,Other Services and Charges,Expenditures,6000,6000,0
73,2023,1000,General Fund,General Funds,6000,City Controller's Office,Administrative Services,520139,Motor Pool Charges,Other Services and Charges,Expenditures,909,909,0
74,2023,1000,General Fund,General Funds,6000,City Controller's Office,Administrative Services,520510,Mail/Delivery Services,Other Services and Charges,Expenditures,2600,2600,0
75,2023,1000,General Fund,General Funds,6000,City Controller's Office,Administrative Services,520520,Printing & Reproduction Services,Other Services and Charges,Expenditures,2400,2400,0
76,2023,1000,General Fund,General Funds,6000,City Controller's Office,Administrative Services,520910,Travel - Non-Training Related,Other Services and Charges,Expenditures,2200,2200,0
77,2023,1000,General Fund,General Funds,6000,City Controller's Office,Administrative Services,521720,Computer Equipment Rental,Other Services and Charges,Expenditures,28202,28202,0
78,2023,1000,General Fund,General Funds,6000,City Controller's Office,Administrative Services,522735,Interfund Parking - HF,Other Services and Charges,Expenditures,37000,37000,0
79,2023,1000,General Fund,General Funds,6400,Finance,Administrative Services,520100,Temporary Personnel  Services,Other Services and Charges,Expenditures,207500,0,0
80,2023,1000,General Fund,General Funds,6400,Finance,Administrative Services,520515,Print Shop Services,Other Services and Charges,Expenditures,13722,28722,0
81,2023,1000,General Fund,General Funds,6400,Finance,Administrative Services,521405,Building Maintenance Services,Other Services and Charges,Expenditures,700,700,0
82,2023,1000,General Fund,General Funds,6400,Finance,Administrative Services,521715,Office Equipment Rental,Other Services and Charges,Expenditures,2232,2232,0
83,2023,1000,General Fund,General Funds,6400,Finance,Administrative Services,521730,Parking Space Rental,Other Services and Charges,Expenditures,57326,57326,0
84,2023,1000,General Fund,General Funds,6400,Finance,Administrative Services,521735,Hobby Parking Space Rental,Other Services and Charges,Expenditures,46000,46000,0
85,2023,1000,General Fund,General Funds,6400,Finance,Administrative Services,522735,Interfund Parking - HF,Other Services and Charges,Expenditures,2072,200,0
86,2023,1000,General Fund,General Funds,6500,Admn. & Regulatory Affairs,Administrative Services,520110,Management Consulting Services,Other Services and Charges,Expenditures,45000,0,0
87,2023,1000,General Fund,General Funds,6500,Admn. & Regulatory Affairs,Administrative Services,520119,Computer Eq/SW Mnt,Other Services and Charges,Expenditures,133000,133000,0
88,2023,1000,General Fund,General Funds,6500,Admn. & Regulatory Affairs,Administrative Services,520510,Mail/Delivery Services,Other Services and Charges,Expenditures,500,500,0
89,2023,1000,General Fund,General Funds,6500,Admn. & Regulatory Affairs,Administrative Services,522731,Interfund Vehicle Accidents,Other Services and Charges,Expenditures,156,156,0
90,2023,1000,General Fund,General Funds,6500,Admn. & Regulatory Affairs,Administrative Services,522735,Interfund Parking - HF,Other Services and Charges,Expenditures,56740,58740,0
91,2023,1000,General Fund,General Funds,7000,Planning & Development,Development & Maintenance Services,520114,Miscellaneous Support Services,Other Services and Charges,Expenditures,300,300,0
92,2023,1000,General Fund,General Funds,7000,Planning & Development,Development & Maintenance Services,522735,Interfund Parking - HF,Other Services and Charges,Expenditures,1842,1842,0
93,2023,1000,General Fund,General Funds,7500,City Secretary,Administrative Services,520109,Medical- Dental & Laboratory Services,Other Services and Charges,Expenditures,36,36,0
94,2023,1000,General Fund,General Funds,7500,City Secretary,Administrative Services,522430,Misc Other Services & Charges,Other Services and Charges,Expenditures,1809,1809,0
95,2023,1000,General Fund,General Funds,7500,City Secretary,Administrative Services,522735,Interfund Parking - HF,Other Services and Charges,Expenditures,5471,5471,0
96,2023,1000,General Fund,General Funds,7500,City Secretary,Administrative Services,522815,Intfd Print Shop Services,Other Services and Charges,Expenditures,1443,1443,0
97,2023,1000,General Fund,General Funds,8000,Human Resources Dept.,Administrative Services,521635,Voice Services -Wireless,Other Services and Charges,Expenditures,2000,3000,0
98,2023,1000,General Fund,General Funds,8000,Human Resources Dept.,Administrative Services,521725,Other Rental,Other Services and Charges,Expenditures,1000,1000,0
99,2023,1000,General Fund,General Funds,9000,Legal Department,Administrative Services,520108,Information Resource Services,Other Services and Charges,Expenditures,5000,5000,0
100,2023,1000,General Fund,General Funds,9000,Legal Department,Administrative Services,522435,Interest Charges Past Due Accounts,Other Services and Charges,Expenditures,400,400,0
101,2023,1000,General Fund,General Funds,9000,Legal Department,Administrative Services,522735,Interfund Parking - HF,Other Services and Charges,Expenditures,79628,81500,0
102,2023,1000,General Fund,General Funds,9900,Citywide General Government,General Government,520515,Print Shop Services,Other Services and Charges,Expenditures,-68205,-68205,0
103,2023,1000,General Fund,General Funds,9900,Citywide General Government,General Government,520520,Printing & Reproduction Services,Other Services and Charges,Expenditures,-37297,-37297,0
104,2023,1000,General Fund,General Funds,9900,Citywide General Government,General Government,520750,Elections,Other Services and Charges,Expenditures,2000000,0,0
105,2023,1000,General Fund,General Funds,9900,Citywide General Government,General Government,522735,Interfund Parking - HF,Other Services and Charges,Expenditures,60000,60000,0
106,2023,1000,General Fund,General Funds,9900,Citywide General Government,General Government,522846,Interfund Vehicle Fuel,Other Services and Charges,Expenditures,2000000,2000000,0
107,2023,1001,Project Cost Recovry,Service Chargeback Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,520107,Computer Info/Contr,Other Services and Charges,Expenditures,309700,309700,0
108,2023,1001,Project Cost Recovry,Service Chargeback Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,520122,Office Equipment Services,Other Services and Charges,Expenditures,2700,2700,0
109,2023,1001,Project Cost Recovry,Service Chargeback Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,520158,Computer Equipment Maintenance Services,Other Services and Charges,Expenditures,1000,1000,0
110,2023,1001,Project Cost Recovry,Service Chargeback Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,520900,CIP-Cap Equip Acq.,Other Services and Charges,Expenditures,211400,211400,0
111,2023,1001,Project Cost Recovry,Service Chargeback Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,521405,Building Maintenance Services,Other Services and Charges,Expenditures,224000,224000,0
112,2023,1001,Project Cost Recovry,Service Chargeback Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,521725,Other Rental,Other Services and Charges,Expenditures,130000,130000,0
113,2023,1001,Project Cost Recovry,Service Chargeback Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,521905,Legal Services,Other Services and Charges,Expenditures,25000,25000,0
114,2023,1001,Project Cost Recovry,Service Chargeback Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,521910,Legal Svcs - Crt Report,Other Services and Charges,Expenditures,1000,1000,0
115,2023,1001,Project Cost Recovry,Service Chargeback Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,522735,Interfund Parking - HF,Other Services and Charges,Expenditures,128100,145100,0
116,2023,1001,Project Cost Recovry,Service Chargeback Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,522822,Interfund Insurance,Other Services and Charges,Expenditures,600,600,0
117,2023,1002,Central Service,Service Chargeback Funds,2500,General Services Department,Development & Maintenance Services,522721,Interfund HR Client Services,Other Services and Charges,Expenditures,31324,31324,0
118,2023,1002,Central Service,Service Chargeback Funds,6400,Finance,Administrative Services,520100,Temporary Personnel  Services,Other Services and Charges,Expenditures,70000,0,0
119,2023,1002,Central Service,Service Chargeback Funds,6400,Finance,Administrative Services,520510,Mail/Delivery Services,Other Services and Charges,Expenditures,1800,1800,0
120,2023,1002,Central Service,Service Chargeback Funds,6400,Finance,Administrative Services,520515,Print Shop Services,Other Services and Charges,Expenditures,1000,1000,0
121,2023,1002,Central Service,Service Chargeback Funds,6400,Finance,Administrative Services,520765,Membership & Professional Fees,Other Services and Charges,Expenditures,2000,2000,0
122,2023,1002,Central Service,Service Chargeback Funds,6400,Finance,Administrative Services,520805,Education & Training,Other Services and Charges,Expenditures,8250,8250,0
123,2023,1002,Central Service,Service Chargeback Funds,6400,Finance,Administrative Services,521730,Parking Space Rental,Other Services and Charges,Expenditures,9722,9722,0
124,2023,1002,Central Service,Service Chargeback Funds,6400,Finance,Administrative Services,522430,Misc Other Services & Charges,Other Services and Charges,Expenditures,3984,3984,0
125,2023,1002,Central Service,Service Chargeback Funds,6400,Finance,Administrative Services,522775,Intfd Parking - Hobby,Other Services and Charges,Expenditures,19617,19617,0
126,2023,1002,Central Service,Service Chargeback Funds,6400,Finance,Administrative Services,522795,Other Interfund Services,Other Services and Charges,Expenditures,150,150,0
127,2023,1002,Central Service,Service Chargeback Funds,6500,Admn. & Regulatory Affairs,Administrative Services,520520,Printing & Reproduction Services,Other Services and Charges,Expenditures,350,350,0
128,2023,1002,Central Service,Service Chargeback Funds,6800,Houston Information Tech Svcs,Administrative Services,520120,Communications Equipment Services,Other Services and Charges,Expenditures,6511,6511,0
129,2023,1002,Central Service,Service Chargeback Funds,6800,Houston Information Tech Svcs,Administrative Services,520151,Parking EZ Tag Fees,Other Services and Charges,Expenditures,2400,2400,0
130,2023,1002,Central Service,Service Chargeback Funds,6800,Houston Information Tech Svcs,Administrative Services,520605,Advertising Services,Other Services and Charges,Expenditures,5000,5000,0
131,2023,1002,Central Service,Service Chargeback Funds,6800,Houston Information Tech Svcs,Administrative Services,521405,Building Maintenance Services,Other Services and Charges,Expenditures,80000,80000,0
132,2023,1002,Central Service,Service Chargeback Funds,6800,Houston Information Tech Svcs,Administrative Services,521905,Legal Services,Other Services and Charges,Expenditures,500,500,0
133,2023,1002,Central Service,Service Chargeback Funds,6800,Houston Information Tech Svcs,Administrative Services,522435,Interest Charges Past Due Accounts,Other Services and Charges,Expenditures,10000,10000,0
134,2023,1002,Central Service,Service Chargeback Funds,6800,Houston Information Tech Svcs,Administrative Services,522735,Interfund Parking - HF,Other Services and Charges,Expenditures,37000,37000,0
135,2023,1002,Central Service,Service Chargeback Funds,7000,Planning & Development,Development & Maintenance Services,520100,Temporary Personnel  Services,Other Services and Charges,Expenditures,13743,13743,0
136,2023,1002,Central Service,Service Chargeback Funds,7000,Planning & Development,Development & Maintenance Services,520765,Membership & Professional Fees,Other Services and Charges,Expenditures,1799,1799,0
137,2023,1002,Central Service,Service Chargeback Funds,8000,Human Resources Dept.,Administrative Services,520116,Parking Services Contract,Other Services and Charges,Expenditures,0,4140,0
138,2023,1002,Central Service,Service Chargeback Funds,8000,Human Resources Dept.,Administrative Services,520121,Application Services,Other Services and Charges,Expenditures,175000,175000,0
139,2023,1002,Central Service,Service Chargeback Funds,8000,Human Resources Dept.,Administrative Services,520520,Printing & Reproduction Services,Other Services and Charges,Expenditures,3000,3000,0
140,2023,1002,Central Service,Service Chargeback Funds,8000,Human Resources Dept.,Administrative Services,520605,Advertising Services,Other Services and Charges,Expenditures,25600,25600,0
141,2023,1002,Central Service,Service Chargeback Funds,8000,Human Resources Dept.,Administrative Services,520770,Insurance Administration Fees,Other Services and Charges,Expenditures,2018,2018,0
142,2023,1002,Central Service,Service Chargeback Funds,8000,Human Resources Dept.,Administrative Services,520900,CIP-Cap Equip Acq.,Other Services and Charges,Expenditures,34460,224460,0
143,2023,1002,Central Service,Service Chargeback Funds,8000,Human Resources Dept.,Administrative Services,521715,Office Equipment Rental,Other Services and Charges,Expenditures,0,31408,0
144,2023,1002,Central Service,Service Chargeback Funds,8000,Human Resources Dept.,Administrative Services,521725,Other Rental,Other Services and Charges,Expenditures,25000,25000,0
145,2023,1002,Central Service,Service Chargeback Funds,8000,Human Resources Dept.,Administrative Services,522730,Interfund Engineering Services,Other Services and Charges,Expenditures,7400,0,0
146,2023,1002,Central Service,Service Chargeback Funds,8000,Human Resources Dept.,Administrative Services,522735,Interfund Parking - HF,Other Services and Charges,Expenditures,97360,82756,0
147,2023,1004,Property & Casualty,Service Chargeback Funds,6500,Admn. & Regulatory Affairs,Administrative Services,520100,Temporary Personnel  Services,Other Services and Charges,Expenditures,12106,12106,0
148,2023,1004,Property & Casualty,Service Chargeback Funds,6500,Admn. & Regulatory Affairs,Administrative Services,520109,Medical- Dental & Laboratory Services,Other Services and Charges,Expenditures,96,96,0
149,2023,1004,Property & Casualty,Service Chargeback Funds,6500,Admn. & Regulatory Affairs,Administrative Services,520110,Management Consulting Services,Other Services and Charges,Expenditures,20000,20000,0
150,2023,1004,Property & Casualty,Service Chargeback Funds,6500,Admn. & Regulatory Affairs,Administrative Services,520510,Mail/Delivery Services,Other Services and Charges,Expenditures,200,200,0
151,2023,1004,Property & Casualty,Service Chargeback Funds,6500,Admn. & Regulatory Affairs,Administrative Services,522735,Interfund Parking - HF,Other Services and Charges,Expenditures,650,650,0
152,2023,1004,Property & Casualty,Service Chargeback Funds,6500,Admn. & Regulatory Affairs,Administrative Services,522775,Intfd Parking - Hobby,Other Services and Charges,Expenditures,936,936,0
153,2023,1004,Property & Casualty,Service Chargeback Funds,9000,Legal Department,Administrative Services,521715,Office Equipment Rental,Other Services and Charges,Expenditures,25000,25000,0
154,2023,1004,Property & Casualty,Service Chargeback Funds,9000,Legal Department,Administrative Services,521915,Legal Svcs - Atty Fee,Other Services and Charges,Expenditures,100000,100000,0
155,2023,1004,Property & Casualty,Service Chargeback Funds,9000,Legal Department,Administrative Services,521940,Legal Svcs -Judgemt,Other Services and Charges,Expenditures,1000000,1000000,0
156,2023,1004,Property & Casualty,Service Chargeback Funds,9000,Legal Department,Administrative Services,522725,Interfund Postage,Other Services and Charges,Expenditures,7300,7300,0
157,2023,1005,Fleet Management,Service Chargeback Funds,6700,Fleet Management Department,Revolving Funds,520101,Janitorial Services,Other Services and Charges,Expenditures,4105,4105,0
158,2023,1005,Fleet Management,Service Chargeback Funds,6700,Fleet Management Department,Revolving Funds,520510,Mail/Delivery Services,Other Services and Charges,Expenditures,50,50,0
159,2023,1005,Fleet Management,Service Chargeback Funds,6700,Fleet Management Department,Revolving Funds,520515,Print Shop Services,Other Services and Charges,Expenditures,669,669,0
160,2023,1005,Fleet Management,Service Chargeback Funds,6700,Fleet Management Department,Revolving Funds,521730,Parking Space Rental,Other Services and Charges,Expenditures,120000,120000,0
161,2023,1005,Fleet Management,Service Chargeback Funds,6700,Fleet Management Department,Revolving Funds,521735,Hobby Parking Space Rental,Other Services and Charges,Expenditures,15274,15274,0
162,2023,1005,Fleet Management,Service Chargeback Funds,6700,Fleet Management Department,Revolving Funds,522205,Metro Commuter Passes,Other Services and Charges,Expenditures,8234,8234,0
163,2023,1005,Fleet Management,Service Chargeback Funds,6700,Fleet Management Department,Revolving Funds,522730,Interfund Engineering Services,Other Services and Charges,Expenditures,6000,0,0
164,2023,1011,WorkersCompensation,Service Chargeback Funds,8000,Human Resources Dept.,Administrative Services,520114,Miscellaneous Support Services,Other Services and Charges,Expenditures,1500,1500,0
165,2023,1011,WorkersCompensation,Service Chargeback Funds,8000,Human Resources Dept.,Administrative Services,520605,Advertising Services,Other Services and Charges,Expenditures,2200,4000,0
166,2023,1011,WorkersCompensation,Service Chargeback Funds,8000,Human Resources Dept.,Administrative Services,522735,Interfund Parking - HF,Other Services and Charges,Expenditures,30425,30425,0
167,2023,1011,WorkersCompensation,Service Chargeback Funds,9000,Legal Department,Administrative Services,520114,Miscellaneous Support Services,Other Services and Charges,Expenditures,3400,3400,0
168,2023,1011,WorkersCompensation,Service Chargeback Funds,9000,Legal Department,Administrative Services,520765,Membership & Professional Fees,Other Services and Charges,Expenditures,1466,1466,0
169,2023,1011,WorkersCompensation,Service Chargeback Funds,9000,Legal Department,Administrative Services,520805,Education & Training,Other Services and Charges,Expenditures,1566,1566,0
170,2023,1011,WorkersCompensation,Service Chargeback Funds,9000,Legal Department,Administrative Services,520905,Travel - Training Related,Other Services and Charges,Expenditures,1568,1568,0
171,2023,1011,WorkersCompensation,Service Chargeback Funds,9000,Legal Department,Administrative Services,522729,Interfund - Voice Labor Exp,Other Services and Charges,Expenditures,5,5,0
172,2023,1011,WorkersCompensation,Service Chargeback Funds,9000,Legal Department,Administrative Services,522735,Interfund Parking - HF,Other Services and Charges,Expenditures,620,620,0
173,2023,1011,WorkersCompensation,Service Chargeback Funds,9000,Legal Department,Administrative Services,522780,Interfund Metro Passes,Other Services and Charges,Expenditures,700,700,0
174,2023,1011,WorkersCompensation,Service Chargeback Funds,9000,Legal Department,Administrative Services,522815,Intfd Print Shop Services,Other Services and Charges,Expenditures,30,30,0
175,2023,2002,Health Special,Special Revenue Funds,3800,Houston Health Department,Human & Cultural Services,520102,Security Services,Other Services and Charges,Expenditures,54800,42800,0
176,2023,2002,Health Special,Special Revenue Funds,3800,Houston Health Department,Human & Cultural Services,520110,Management Consulting Services,Other Services and Charges,Expenditures,18000,18000,0
177,2023,2002,Health Special,Special Revenue Funds,3800,Houston Health Department,Human & Cultural Services,520740,Document Recording/Filing Fees,Other Services and Charges,Expenditures,3000,3000,0
178,2023,2002,Health Special,Special Revenue Funds,3800,Houston Health Department,Human & Cultural Services,520910,Travel - Non-Training Related,Other Services and Charges,Expenditures,4900,4900,0
